[rank 19] 	COMPRESSION TIME: 0.2208852767944336 
[rank 1] 	COMPRESSION TIME: 0.2061901092529297 
[rank 7] 	COMPRESSION TIME: 0.26081204414367676 
[rank 20] 	COMPRESSION TIME: 0.1032867431640625 
[rank 29] 	COMPRESSION TIME: 0.2533400058746338 
[rank 13] 	COMPRESSION TIME: 0.25940537452697754 
[rank 24] 	COMPRESSION TIME: 0.21532392501831055 
[rank 8] 	COMPRESSION TIME: 0.17930030822753906 
[rank 18] 	COMPRESSION TIME: 0.25016331672668457 
[rank 0] 	COMPRESSION TIME: 0.06785774230957031 
[rank 6] 	COMPRESSION TIME: 0.15010738372802734 
[rank 31] 	COMPRESSION TIME: 0.3032047748565674 
[rank 15] 	COMPRESSION TIME: 0.29781055450439453 
[rank 26] 	COMPRESSION TIME: 0.1561276912689209 
[rank 11] 	COMPRESSION TIME: 0.21788263320922852 
[rank 17] 	COMPRESSION TIME: 0.2438349723815918 
[rank 2] 	COMPRESSION TIME: 0.048951148986816406 
[rank 5] 	COMPRESSION TIME: 0.2627432346343994 
[rank 28] 	COMPRESSION TIME: 0.2367875576019287 
[rank 12] 	COMPRESSION TIME: 0.18090319633483887 
[rank 25] 	COMPRESSION TIME: 0.17021727561950684 
[rank 10] 	COMPRESSION TIME: 0.1803758144378662 
[rank 7] 	COMPRESSION TIME: 1.659708023071289 
[rank 19] 	COMPRESSION TIME: 1.656069278717041 
[rank 29] 	COMPRESSION TIME: 1.6660549640655518 
[rank 24] 	COMPRESSION TIME: 1.6177208423614502 
[rank 23] 	COMPRESSION TIME: 1.6791527271270752 
[rank 0] 	COMPRESSION TIME: 0.24656248092651367 
[rank 16] 	COMPRESSION TIME: 1.6325623989105225 
[rank 6] 	COMPRESSION TIME: 1.6596765518188477 
[rank 11] 	COMPRESSION TIME: 1.6669278144836426 
[rank 13] 	COMPRESSION TIME: 1.6554179191589355 
[rank 25] 	COMPRESSION TIME: 1.6222131252288818 
[rank 31] 	COMPRESSION TIME: 1.7007968425750732 
[rank 20] 	COMPRESSION TIME: 1.5428128242492676 
[rank 3] 	COMPRESSION TIME: 0.024617433547973633 
[rank 18] 	COMPRESSION TIME: 1.542168378829956 
[rank 5] 	COMPRESSION TIME: 1.677234411239624 
[rank 9] 	COMPRESSION TIME: 1.6324384212493896 
[rank 15] 	COMPRESSION TIME: 1.6637206077575684 
[rank 27] 	COMPRESSION TIME: 1.6047546863555908 
[rank 28] 	COMPRESSION TIME: 1.5924646854400635 
[rank 21] 	COMPRESSION TIME: 1.6197950839996338 
[rank 2] 	COMPRESSION TIME: 0.19635844230651855 
[rank 17] 	COMPRESSION TIME: 1.6643495559692383 
[rank 4] 	COMPRESSION TIME: 1.6496093273162842 
[rank 10] 	COMPRESSION TIME: 1.5230827331542969 
[rank 14] 	COMPRESSION TIME: 1.5322904586791992 
[rank 26] 	COMPRESSION TIME: 1.642176866531372 
[rank 30] 	COMPRESSION TIME: 1.571784257888794 
[rank 22] 	COMPRESSION TIME: 1.5518333911895752 
[rank 1] 	COMPRESSION TIME: 0.058016300201416016 
[rank 8] 	COMPRESSION TIME: 1.4693081378936768 
[rank 12] 	COMPRESSION TIME: 1.4993650913238525 
[rank 30] 	COMPRESSION TIME: 0.258742094039917 
[rank 17] 	COMPRESSION TIME: 0.20485591888427734 
[rank 13] 	COMPRESSION TIME: 0.24828600883483887 
[rank 27] 	COMPRESSION TIME: 0.2429816722869873 
[rank 6] 	COMPRESSION TIME: 0.25356340408325195 
[rank 1] 	COMPRESSION TIME: 0.24422717094421387 
[rank 31] 	COMPRESSION TIME: 0.2667398452758789 
[rank 11] 	COMPRESSION TIME: 0.28972530364990234 
[rank 18] 	COMPRESSION TIME: 0.28919148445129395 
[rank 22] 	COMPRESSION TIME: 0.15752530097961426 
[rank 15] 	COMPRESSION TIME: 0.21903109550476074 
[rank 24] 	COMPRESSION TIME: 0.17948698997497559 
[rank 5] 	COMPRESSION TIME: 0.2161390781402588 
[rank 0] 	COMPRESSION TIME: 0.18904447555541992 
[rank 29] 	COMPRESSION TIME: 0.28017163276672363 
[rank 10] 	COMPRESSION TIME: 0.025074243545532227 
[rank 19] 	COMPRESSION TIME: 0.24131464958190918 
[rank 23] 	COMPRESSION TIME: 0.2262279987335205 
[rank 12] 	COMPRESSION TIME: 0.07822203636169434 
[rank 26] 	COMPRESSION TIME: 0.13523054122924805 
[rank 7] 	COMPRESSION TIME: 0.2258164882659912 
[rank 2] 	COMPRESSION TIME: 0.08568310737609863 
[rank 28] 	COMPRESSION TIME: 0.2827026844024658 
[rank 8] 	COMPRESSION TIME: 0.1242830753326416 
[rank 16] 	COMPRESSION TIME: 0.29111719131469727 
[rank 21] 	COMPRESSION TIME: 0.25373005867004395 
[rank 14] 	COMPRESSION TIME: 0.07567501068115234 
[rank 25] 	COMPRESSION TIME: 0.2564842700958252 
[rank 4] 	COMPRESSION TIME: 0.25458812713623047 
[rank 3] 	COMPRESSION TIME: 0.17816543579101562 
[rank 9] 	COMPRESSION TIME: 0.28414320945739746 
[rank 20] 	COMPRESSION TIME: 0.1858201026916504 
[rank 7] 	COMPRESSION TIME: 0.18190240859985352 
[rank 22] 	COMPRESSION TIME: 0.07970595359802246 
[rank 18] 	COMPRESSION TIME: 0.14321589469909668 
[rank 1] 	COMPRESSION TIME: 0.11538338661193848 
[rank 13] 	COMPRESSION TIME: 0.22235584259033203 
[rank 31] 	COMPRESSION TIME: 0.2517096996307373 
[rank 5] 	COMPRESSION TIME: 0.18688154220581055 
[rank 24] 	COMPRESSION TIME: 0.024973630905151367 
[rank 9] 	COMPRESSION TIME: 0.17882943153381348 
[rank 0] 	COMPRESSION TIME: 0.13906002044677734 
[rank 15] 	COMPRESSION TIME: 0.17668747901916504 
[rank 23] 	COMPRESSION TIME: 0.13582754135131836 
[rank 16] 	COMPRESSION TIME: 0.20265936851501465 
[rank 30] 	COMPRESSION TIME: 0.12710857391357422 
[rank 6] 	COMPRESSION TIME: 0.1686100959777832 
[rank 25] 	COMPRESSION TIME: 0.1115107536315918 
[rank 11] 	COMPRESSION TIME: 0.20926356315612793 
[rank 2] 	COMPRESSION TIME: 0.08915328979492188 
[rank 12] 	COMPRESSION TIME: 0.22112083435058594 
[rank 21] 	COMPRESSION TIME: 0.13172197341918945 
[rank 17] 	COMPRESSION TIME: 0.18320870399475098 
[rank 29] 	COMPRESSION TIME: 0.1993265151977539 
[rank 4] 	COMPRESSION TIME: 0.18337321281433105 
[rank 27] 	COMPRESSION TIME: 0.1255631446838379 
[rank 8] 	COMPRESSION TIME: 0.08942389488220215 
[rank 3] 	COMPRESSION TIME: 0.14423227310180664 
[rank 14] 	COMPRESSION TIME: 0.1321885585784912 
